"1","ブルックリン美術館オンラインコレクション","Online Collection of Brooklyn Museum","パブリックドメイン","Public domain"
"2","ブルックリン美術館","Brooklyn Museum","パブリックドメイン","Public domain"
"3","ホノルル美術館","Honolulu Museum of Art","パブリックドメイン","Public domain"
"4","東京国立博物館","Tokyo National Museum","パブリックドメイン","Public domain"
"5","国立国会図書館デジタルコレクション","NDL Digital Collections","パブリックドメイン","Public domain"
"6","メトロポリタン美術館","Metropolitan Museum of Art","パブリックドメイン","Public domain"
"7","ボストン美術館","Museum of Fine Arts Boston ","パブリックドメイン","Public domain"
"8","シカゴ美術館","Art Institute of Chicago","パブリックドメイン","Public domain"
"9","大英博物館","The British Museum","パブリックドメイン","Public domain"
